Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,100,1,100,0.248,404
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,316,1,316,0.724,437
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,1000,1,1000,1.696,590
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,3162,1,3162,22.392,142
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,10000,1,10000,82.69,121
ZK Performance Test-ZKmove,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,move,1,1,1,1,0.02,50
ZK Performance Test-ZKmove,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,move,1,3,1,3,0.07,43
ZK Performance Test-ZKmove,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,move,1,10,1,10,0.169,60
ZK Performance Test-ZKmove,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,move,1,31,1,31,0.488,64
ZK Performance Test-ZKmove,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,move,1,100,1,100,1.568,64
ZK Performance Test-ZKmove,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,move,1,316,1,316,4.769,67
ZK Performance Test-ZKmove,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,move,1,1000,1,1000,14.788,68
ZK Performance Test-ZKmove,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,move,1,3162,1,3162,47.224,67
ZK Performance Test-ZKmove,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,move,1,10000,1,10000,146.872,69
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,1,1,1,0.006,167
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,3,1,3,0.018,167
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,10,1,10,0.034,295
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,31,1,31,0.092,337
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,100,1,100,0.266,376
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,316,1,316,0.85,372
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,1000,1,1000,22.498,45
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,3162,1,3162,34.82,91
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,10000,1,10000,27.859,359
ZK Performance Test-ZKmove,AWS-Non-optimal-AWS,10000,AWS,zookeeper-3.3.6,move,1,1,1,1,0.018,56
ZK Performance Test-ZKmove,AWS-Non-optimal-AWS,10000,AWS,zookeeper-3.3.6,move,1,3,1,3,0.049,62
ZK Performance Test-ZKmove,AWS-Non-optimal-AWS,10000,AWS,zookeeper-3.3.6,move,1,10,1,10,0.156,65
ZK Performance Test-ZKmove,AWS-Non-optimal-AWS,10000,AWS,zookeeper-3.3.6,move,1,31,1,31,0.5,62
ZK Performance Test-ZKmove,AWS-Non-optimal-AWS,10000,AWS,zookeeper-3.3.6,move,1,100,1,100,1.486,68
ZK Performance Test-ZKmove,AWS-Non-optimal-AWS,10000,AWS,zookeeper-3.3.6,move,1,316,1,316,4.833,66
ZK Performance Test-ZKmove,AWS-Non-optimal-AWS,10000,AWS,zookeeper-3.3.6,move,1,1000,1,1000,14.98,67
ZK Performance Test-ZKmove,AWS-Non-optimal-AWS,10000,AWS,zookeeper-3.3.6,move,1,3162,1,3162,45.82,70
ZK Performance Test-ZKmove,AWS-Non-optimal-AWS,10000,AWS,zookeeper-3.3.6,move,1,10000,1,10000,148.76,68
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.3.6,move,1,1,1,1,0.006,167
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.3.6,move,1,3,1,3,0.013,231
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.3.6,move,1,10,1,10,0.024,417
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.3.6,move,1,31,1,31,0.113,275
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.3.6,move,1,100,1,100,0.3,334
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.3.6,move,1,316,1,316,1.031,307
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.3.6,move,1,1000,1,1000,1.726,580
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.3.6,move,1,3162,1,3162,3.639,869
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.3.6,move,1,10000,1,10000,67.997,148
